Name;Year;Genres;IMDBRate;MyRate;Voters
Птицы;1963;Drama Horror Mystery;7.7;6;148662
Утопия;2013;Drama Mystery Sci-Fi;8.5;8;33664
The King of Comedy;1982;Comedy Crime Drama;7.8;7;63970
Room at the Top;1959;Drama Romance;7.7;7;4309
Судья;2014;Crime Drama;7.4;6;157472
Больница Никербокер;2014;Drama;8.5;8;37286
Магия лунного света;2014;Comedy Romance;6.6;7;56866
Love in the Afternoon;1957;Comedy Crime Drama;7.3;7;11860
Мужчина и женщина;1966;Drama Romance;7.6;6;8085
Перед закатом;2004;Drama Romance;8.1;7;197760
Перед рассветом;1995;Drama Romance;8.1;7;226358
Исчезнувшая;2014;Crime Drama Mystery;8.1;8;718272
Три цвета: Синий;1993;Drama Music Mystery;8;7;73939
Return from the Ashes;1965;Crime Drama Thriller;7.1;6;654
Отрочество;2014;Drama;7.9;8;306733
Magnificent Obsession;1954;Drama Romance;7.1;5;5064
Ричард III;1995;Drama Sci-Fi War;7.5;8;12584
The Far Country;1954;Romance Western;7.2;6;5667
The Smiling Lieutenant;1931;Comedy Romance Musical;7.8;6;2890
Behind Locked Doors;1948;Crime Drama Film-Noir;6.6;7;642
Монтаж;2013;Action Crime Mystery;7.5;7;3890
Strogiy yunosha;1935;Drama;6.9;5;156
The Mummy;1932;Fantasy Horror;7.2;7;19532
Kiss Tomorrow Goodbye;1950;Crime Film-Noir Thriller;7.2;7;1398
Побудь в моей шкуре;2013;Drama Sci-Fi Thriller;6.3;5;106808
Елена;2011;Drama;7.3;7;10614
Изгнание;2007;Drama;7.7;5;6178
Возвращение;2003;Drama Mystery Thriller;8;7;36717
The Man Who Cheated Himself;1950;Crime Drama Film-Noir;6.9;7;1155
Сквозь снег;2013;Action Drama Sci-Fi;7;7;223885
Heaven Can Wait;1943;Comedy Drama Fantasy;7.5;6;8343
The Hucksters;1947;Drama Comedy Romance;6.7;5;1167
Голодные игры: И вспыхнет пламя;2013;Action Adventure Mystery;7.5;5;557604
Малышка на миллион;2004;Drama Sport;8.1;7;563932
Стражи Галактики;2014;Action Adventure Comedy;8.1;7;871324
Bера Дрейк;2004;Crime Drama;7.7;7;21871
Never Let Me Go;1953;Adventure Drama Romance;6.2;6;578
Priklyucheniya Sherloka Kholmsa i doktora Vatsona;1980;Crime Mystery;8.5;7;1839
